OTU	NTC	NTC	NTC	NTC	NTC	NTC	P2	D26	P27	P6	D6	V6	S6	V4	P9	S22	D2	P30A	V9	S13	S30A	D9	D13	V13	V23	V17	V16	D16	S17	P22	P17	D17	S9	P10	D22	S4	P5	P23	D23	V2	V2_3	S2_2	D24	V24	V5	S24	P26	S31	S27	S2	V27	S26	V10	V2_2	V30B	V78	V30A	P16	D30B	S10	D30A	S78	D31	P13	D4	D5	P76	D76	V76	S30B	P31	D78	S76	P78	P4	P2_2	P2_3	D2_2	D27	S23	P24	S2_3	V31	P30B	V26	V22	D10	S16	D2_3	S5
OTU53	0	0	0	0	0	0	10	113	0	4	9	7	54	1	4	42	159	6	0	236	93	33	0	0	0	0	0	52	196	10	0	131	7	3	5	5	2	5	148	70	41	352	44	1	11	731	1	47	1	226	6	1487	15	43	0	7	0	19	8	268	20	227	71	0	0	0	36	37	20	41	2	814	1945	1	0	4	9	204	0	708	0	501	0	0	0	0	167	566	156	0
OTU54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	9066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU55	0	0	0	0	0	0	2334	0	1	0	7	0	0	2	0	0	0	0	0	7	0	0	0	4	10	0	0	0	0	0	0	0	0	7	0	0	4	0	0	19	7	0	0	0	4	0	0	1	20	0	63	0	24	12	14	6	0	1	9	0	6	0	0	269	0	0	0	0	2	0	5	0	0	314	63	2657	2931	0	0	5	0	0	2	4741	0	0	0	0	0	3
OTU56	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	2	1	1	17	4857	0	1	0	8	0	0	0	0	1	0	5	0	0	0	0	2	0	0	0	1	0	0	12107	0	0	21	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
OTU57	0	0	0	0	0	0	0	0	0	0	12	0	15	0	0	0	6	0	1	25	2659	0	2	0	0	0	0	1	0	0	0	0	43	0	0	1	0	1	0	0	0	2	0	0	0	4	0	13	3	3	9	0	0	0	0	0	0	0	0	0	464	68	0	0	0	0	30	70	0	0	0	0	93	0	11014	0	0	0	0	0	0	2	0	0	0	0	0	49	0	0
OTU58	0	0	0	0	1	0	1	0	0	0	7176	0	7	2	0	3	0	1	0	17	4	0	0	0	0	0	0	1	112	0	1	4	18	0	0	449	0	0	0	0	0	6	0	0	0	11	0	0	0	5	0	12	4	0	0	1	0	1	3	34	6	6	0	1	367	12	1	4	1	10	0	0	20	0	0	1	0	0	0	15	0	7	0	0	0	0	0	4	0	42
OTU59	0	0	0	0	0	1	0	0	0	0	0	0	924	0	0	1	315	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1446	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	225	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	3675	1	0	0	0	251	0	0	1	269	0	0	0	0	0	0	328	0
OTU60	0	0	0	0	0	1	159	183	11	5	6	53	17	370	33	12	37	50	298	38	242	119	235	77	93	65	22	95	705	18	784	268	46	13	175	260	24	5	5	283	194	73	260	150	328	20	14	17	54	80	158	47	420	187	199	314	209	119	5	98	1063	30	666	165	0	12	115	3	132	58	63	194	102	92	1243	200	154	109	29	82	94	89	4	273	37	22	219	2	68	359
OTU61	0	0	0	0	0	0	1	246	28	0	26	66	70	66	0	25	0	0	0	0	1039	0	0	0	0	1	0	0	1516	0	4	328	0	0	3	0	0	33	0	0	0	0	0	70	0	16	0	141	2	0	2	0	0	0	0	0	22	0	0	0	0	0	3153	0	0	0	0	0	0	0	0	0	0	0	24	3	3	0	0	15	0	0	69	0	6	17	0	0	0	0
OTU62	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	6700	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0
OTU63	0	0	0	0	0	0	6	22	0	0	64	2	0	0	0	0	141	0	2	0	146	3	0	0	4	0	0	0	83	0	0	13	2	0	50	19	0	4	99	5	0	28	390	0	0	39	0	0	0	21	0	7	42	3	6	1	5	1	742	162	1905	4	134	0	18	0	0	211	0	0	1	1103	13	7	2	16	5	148	138	9	51	28	0	1	0	0	403	0	102	4
OTU64	0	0	0	0	0	0	748	361	0	2	3	5	13	1	49	7	335	6	1	40	23	183	55	4	2	0	0	6	0	1	0	0	1	1	1	5	0	4	785	0	0	6	971	156	0	3	1	8	0	0	1	0	7	1	1	1	7	2	0	21	51	19	209	0	11	60	7	5	0	0	1	1303	5	9	21	694	747	279	393	1	0	1	27	0	2	11	53	0	224	8
